Tanggal,Periode,Inflasi_YoY,Year,Month,Quarter,Inflasi_Lag_1,Inflasi_Lag_2,Inflasi_Lag_3,Inflasi_Lag_6,Inflasi_Lag_12,Inflasi_RollMean_3,Inflasi_RollMean_6,Inflasi_RollMean_12,Inflasi_RollStd_3,Inflasi_RollStd_6,Inflasi_RollStd_12,Inflasi_Diff_1,Inflasi_Diff_12
2015-09-01,September 2015,6.83,2015,9,3,7.18,7.26,7.26,6.38,4.53,7.233333333333333,7.003333333333334,6.601666666666667,0.04618802153693828,0.3517195852758698,1.0648331780000475,-0.08000000000000007,3.1899999999999995
2015-10-01,Oktober 2015,6.25,2015,10,4,6.83,7.18,7.26,6.79,4.83,7.09,7.078333333333333,6.793333333333333,0.22869193252095338,0.21273614330110535,0.8416470144720284,-0.34999999999999964,2.3
2015-11-01,November 2015,4.89,2015,11,4,6.25,6.83,7.18,7.15,6.23,6.753333333333333,6.988333333333333,6.911666666666666,0.46971622638941585,0.39514132492898024,0.6078701017536896,-0.5800000000000001,1.42
2015-12-01,Desember 2015,3.35,2015,12,4,4.89,6.25,6.83,7.26,8.36,5.989999999999999,6.611666666666667,6.800000000000001,0.9957911427604715,0.9280391514729518,0.8277790658250327,-1.3600000000000003,-1.3400000000000007
2016-01-01,Januari 2016,4.14,2016,1,1,3.35,4.89,6.25,7.26,6.96,4.83,5.96,6.3825,1.4509307357693693,1.547669215304091,1.1644204567079657,-1.5399999999999996,-5.01
2016-02-01,Februari 2016,4.42,2016,2,1,4.14,3.35,4.89,7.18,6.29,4.126666666666666,5.44,6.1475,0.7700865752196953,1.5476692153040938,1.3124309505646348,0.7899999999999996,-2.8200000000000003
2016-03-01,Maret 2016,4.45,2016,3,1,4.42,4.14,3.35,6.83,6.38,3.97,4.9799999999999995,5.991666666666666,0.5548873759604479,1.320575632063532,1.4019391332484181,0.28000000000000025,-1.87
2016-04-01,April 2016,3.6,2016,4,2,4.45,4.42,4.14,6.25,6.79,4.336666666666667,4.583333333333333,5.8308333333333335,0.17097758137718794,0.9626975987643627,1.4627275787708949,0.03000000000000025,-1.9299999999999997
2016-05-01,Mei 2016,3.33,2016,5,2,3.6,4.45,4.42,4.89,7.15,4.156666666666666,4.141666666666667,5.565,0.48232077845931415,0.5749231832746676,1.5592509856862793,-0.8500000000000001,-3.19
2016-06-01,Juni 2016,3.45,2016,6,2,3.33,3.6,4.45,3.35,7.26,3.793333333333333,3.8816666666666664,5.246666666666667,0.5844940832323375,0.5188223845081104,1.5957576333022585,-0.27,-3.8200000000000003
2016-07-01,Juli 2016,3.21,2016,7,3,3.45,3.33,3.6,4.14,7.26,3.4599999999999995,3.8983333333333334,4.929166666666666,0.1352774925857508,0.4995764873036772,1.5366933705692625,0.1200000000000001,-3.8099999999999996
2016-08-01,Agustus 2016,2.79,2016,8,3,3.21,3.45,3.33,4.42,7.18,3.33,3.7433333333333327,4.591666666666667,0.12000000000121638,0.551204741150404,1.4184359717874528,-0.2400000000000002,-4.05
2016-09-01,September 2016,3.07,2016,9,3,2.79,3.21,3.45,4.45,6.83,3.15,3.471666666666667,4.225833333333333,0.3340658617702464,0.552681342788671,1.2457962647774106,-0.41999999999999993,-4.39
2016-10-01,Oktober 2016,3.31,2016,10,4,3.07,2.79,3.21,3.6,6.25,3.023333333333333,3.241666666666667,3.9124999999999996,0.21385353243197663,0.28777885027689637,0.9745966531666604,0.2799999999999998,-3.7600000000000002
2016-11-01,November 2016,3.58,2016,11,4,3.31,3.07,2.79,3.33,4.89,3.0566666666666666,3.1933333333333334,3.6675,0.2602562839464852,0.23508863576679576,0.6485666013322453,0.2400000000000002,-2.94
2016-12-01,Desember 2016,3.02,2016,12,4,3.58,3.31,3.07,3.45,3.35,3.32,3.235,3.558333333333333,0.2551470164440348,0.2816913204201113,0.5219862995996369,0.27,-1.3099999999999996
2017-01-01,Januari 2017,3.49,2017,1,1,3.02,3.58,3.31,3.21,4.14,3.3033333333333332,3.1633333333333336,3.5308333333333337,0.28005951748445607,0.2705303433382171,0.5422588837167377,-0.56,-0.33000000000000007
2017-02-01,Februari 2017,3.83,2017,2,1,3.49,3.02,3.58,2.79,4.42,3.3633333333333333,3.2099999999999995,3.4766666666666666,0.3007213549677253,0.30245660845818234,0.5072086415476695,0.4700000000000002,-0.6499999999999995
2017-03-01,Maret 2017,3.61,2017,3,1,3.83,3.49,3.02,3.07,4.45,3.4466666666666668,3.3833333333333333,3.4275,0.406734966942384,0.31149103785934185,0.4302034402466199,0.33999999999999986,-0.5899999999999999
2017-04-01,April 2017,4.17,2017,4,2,3.61,3.83,3.49,3.31,3.6,3.643333333333333,3.473333333333333,3.3575,0.17243356208585486,0.27918930256492347,0.2961610434145446,-0.2200000000000002,-0.8400000000000003
2017-05-01,Mei 2017,4.33,2017,5,2,4.17,3.61,3.83,3.58,3.33,3.8699999999999997,3.616666666666667,3.405,0.28213471959380737,0.38082366873224394,0.3740563885541981,0.56,0.5699999999999998
2017-06-01,Juni 2017,4.37,2017,6,2,4.33,4.17,3.61,3.02,3.45,4.036666666666666,3.7416666666666667,3.4883333333333333,0.3780652501005676,0.47725953805731713,0.45783747281669473,0.16000000000000014,1.0
2017-07-01,Juli 2017,3.88,2017,7,3,4.37,4.33,4.17,3.49,3.21,4.29,3.966666666666667,3.565,0.10583005244382926,0.37659881394752154,0.5231982068359837,0.040000000000000036,0.9199999999999999
2017-08-01,Agustus 2017,3.82,2017,8,3,3.88,4.37,4.33,3.83,2.79,4.193333333333333,4.031666666666667,3.6208333333333336,0.27209067116239005,0.30465827851328586,0.5175898399546369,-0.4900000000000002,0.6699999999999999
2017-09-01,September 2017,3.72,2017,9,3,3.82,3.88,4.37,3.61,3.07,4.023333333333333,4.03,3.706666666666667,0.30171730698387966,0.30600653587793225,0.4480124457145969,-0.06000000000000005,1.0299999999999998
2017-10-01,Oktober 2017,3.58,2017,10,4,3.72,3.82,3.88,4.17,3.31,3.8066666666666666,4.048333333333333,3.7608333333333337,0.08082903768826168,0.27780688736364795,0.4008504217361919,-0.09999999999999964,0.6500000000000004
2017-11-01,November 2017,3.3,2017,11,4,3.58,3.72,3.82,4.33,3.58,3.706666666666667,3.9499999999999997,3.783333333333333,0.12055427546799442,0.32631273343222983,0.38029494136034,-0.14000000000000012,0.27
2017-12-01,Desember 2017,3.61,2017,12,4,3.3,3.58,3.72,4.37,3.02,3.533333333333333,3.7783333333333338,3.7600000000000002,0.21385353243193744,0.3560009363283796,0.4018819365300128,-0.28000000000000025,-0.28000000000000025
2018-01-01,Januari 2018,3.25,2018,1,1,3.61,3.3,3.58,3.88,3.49,3.4966666666666666,3.651666666666667,3.8091666666666666,0.17097758137726315,0.20769368470583063,0.3333700737328228,0.31000000000000005,0.5899999999999999
2018-02-01,Februari 2018,3.18,2018,2,1,3.25,3.61,3.3,3.82,3.83,3.3866666666666667,3.546666666666667,3.7891666666666666,0.19502136635153955,0.22747893675390418,0.36036492446948937,-0.3599999999999999,-0.2400000000000002
2018-03-01,Maret 2018,3.4,2018,3,1,3.18,3.25,3.61,3.72,3.61,3.3466666666666662,3.44,3.735,0.23072349974292264,0.22369622258773583,0.40030670060027385,-0.06999999999999984,-0.6499999999999999
2018-04-01,April 2018,3.41,2018,4,2,3.4,3.18,3.25,3.58,4.17,3.276666666666667,3.3866666666666667,3.7175,0.11239810200187698,0.17682382946506217,0.4107227554180615,0.21999999999999975,-0.20999999999999996
2018-05-01,Mei 2018,3.23,2018,5,2,3.41,3.4,3.18,3.3,4.33,3.33,3.358333333333333,3.6541666666666663,0.13000000000111406,0.15144856112452795,0.39280942252479933,0.010000000000000231,-0.7599999999999998
2018-06-01,Juni 2018,3.12,2018,6,2,3.23,3.41,3.4,3.61,4.37,3.3466666666666662,3.346666666666667,3.5625,0.10115993937138648,0.1593319386271631,0.34636095202972034,-0.18000000000000016,-1.1
2018-07-01,Juli 2018,3.18,2018,7,3,3.12,3.23,3.41,3.25,3.88,3.2533333333333334,3.265,3.4583333333333335,0.14640127504098097,0.11743083070482302,0.2581695472970073,-0.10999999999999988,-1.25
2018-08-01,Agustus 2018,3.2,2018,8,3,3.18,3.12,3.23,3.18,3.82,3.1766666666666663,3.2533333333333334,3.4,0.055075705475525955,0.12258330500802982,0.23198746047622743,0.06000000000000005,-0.6999999999999997
2018-09-01,September 2018,2.88,2018,9,3,3.2,3.18,3.12,3.4,3.72,3.1666666666666665,3.2566666666666664,3.348333333333333,0.041633319992851144,0.12044362443355651,0.1962296119501048,0.020000000000000018,-0.6199999999999997
2018-10-01,Oktober 2018,3.16,2018,10,4,2.88,3.2,3.18,3.41,3.58,3.0866666666666664,3.17,3.278333333333333,0.1792577287974754,0.17251086922285927,0.2013514942642674,-0.3200000000000003,-0.8400000000000003
2018-11-01,November 2018,3.23,2018,11,4,3.16,2.88,3.2,3.23,3.3,3.08,3.1283333333333334,3.2433333333333336,0.174355957742476,0.12718752559387972,0.17946047087336572,0.28000000000000025,-0.41999999999999993
2018-12-01,Desember 2018,3.13,2018,12,4,3.23,3.16,2.88,3.12,3.61,3.09,3.1283333333333334,3.2375000000000003,0.18520259177531984,0.12718752559387972,0.1785866227302914,0.06999999999999984,-0.06999999999999984
2019-01-01,Januari 2019,2.82,2019,1,1,3.13,3.23,3.16,3.18,3.25,3.1733333333333333,3.1300000000000003,3.1975,0.051316014397329135,0.1271219886566723,0.136323478935659,-0.10000000000000009,-0.48
2019-02-01,Februari 2019,2.57,2019,2,1,2.82,3.13,3.23,3.2,3.18,3.06,3.07,3.1616666666666666,0.21377558326501303,0.1748141870673775,0.17288111171527504,-0.31000000000000005,-0.43000000000000016
2019-03-01,Maret 2019,2.48,2019,3,1,2.57,2.82,3.13,2.88,3.4,2.84,2.965,3.1108333333333333,0.28053520278264954,0.25288337232809444,0.24261673229171576,-0.25,-0.6100000000000003
2019-04-01,April 2019,2.83,2019,4,2,2.48,2.57,2.82,3.16,3.41,2.623333333333333,2.8983333333333334,3.0341666666666662,0.17616280349052507,0.3228260625579932,0.2846515679766184,-0.08999999999999986,-0.9199999999999999
2019-05-01,Mei 2019,3.32,2019,5,2,2.83,2.48,2.57,3.23,3.23,2.6266666666666665,2.8433333333333333,2.985833333333334,0.18175074507038838,0.29635564220493277,0.26348911770991224,0.3500000000000001,-0.5800000000000001
2019-06-01,Juni 2019,3.28,2019,6,2,3.32,2.83,2.48,3.13,3.12,2.8766666666666665,2.858333333333333,2.9933333333333336,0.42193996413427665,0.3210866964959742,0.2722075856713079,0.48999999999999977,0.08999999999999986
2019-07-01,Juli 2019,3.32,2019,7,3,3.28,3.32,2.83,2.82,3.18,3.143333333333333,2.8833333333333333,3.0066666666666664,0.2720906711624411,0.3509225935540449,0.2826926803353494,-0.040000000000000036,0.1599999999999997
2019-08-01,Agustus 2019,3.49,2019,8,3,3.32,3.28,3.32,2.57,3.2,3.306666666666666,2.9666666666666663,3.018333333333333,0.02309401077386589,0.39005982447144705,0.29319039216972714,0.040000000000000036,0.13999999999999968
2019-09-01,September 2019,3.39,2019,9,3,3.49,3.32,3.28,2.48,2.88,3.3633333333333333,3.1199999999999997,3.0425,0.11150485789247917,0.38371864692770286,0.32023074067421964,0.17000000000000037,0.29000000000000004
2019-10-01,Oktober 2019,3.13,2019,10,4,3.39,3.49,3.32,2.83,3.16,3.4000000000000004,3.2716666666666665,3.0850000000000004,0.08544003745485859,0.22868464458002294,0.330385449822744,-0.10000000000000009,0.5100000000000002
2019-11-01,November 2019,3.0,2019,11,4,3.13,3.39,3.49,3.32,3.23,3.3366666666666664,3.3216666666666668,3.0825,0.18583146486433,0.11956866925198535,0.3298794545670979,-0.26000000000000023,-0.03000000000000025
2019-12-01,Desember 2019,2.72,2019,12,4,3.0,3.13,3.39,3.28,3.13,3.1733333333333333,3.268333333333333,3.063333333333334,0.1985782801154927,0.17769824609908655,0.3272011706284649,-0.1299999999999999,-0.22999999999999998
2020-01-01,Januari 2020,2.68,2020,1,1,2.72,3.0,3.13,3.32,2.82,2.9499999999999997,3.1749999999999994,3.029166666666667,0.20952326839828467,0.2850087717948807,0.34073338906581285,-0.2799999999999998,-0.4099999999999997
2020-02-01,Februari 2020,2.98,2020,2,1,2.68,2.72,3.0,3.49,2.57,2.8000000000000003,3.0683333333333334,3.0175,0.17435595774249796,0.33522629172947466,0.3507945526684394,-0.040000000000000036,-0.13999999999999968
2020-03-01,Maret 2020,2.96,2020,3,1,2.98,2.68,2.72,3.39,2.48,2.7933333333333334,2.983333333333333,3.0516666666666663,0.16289055630587446,0.26402020124735953,0.322034253777595,0.2999999999999998,0.41000000000000014
2020-04-01,April 2020,2.67,2020,4,2,2.96,2.98,2.68,3.13,2.83,2.8733333333333335,2.9116666666666666,3.091666666666667,0.16772994167302127,0.17486185023239761,0.2702131594041689,-0.020000000000000018,0.48
2020-05-01,Mei 2020,2.19,2020,5,2,2.67,2.96,2.98,3.0,3.32,2.8699999999999997,2.8350000000000004,3.078333333333333,0.17349351572984484,0.16021860066806254,0.28768143155344167,-0.29000000000000004,-0.16000000000000014
2020-06-01,Juni 2020,1.96,2020,6,2,2.19,2.67,2.96,2.72,3.28,2.606666666666667,2.6999999999999997,2.984166666666667,0.38888730158445967,0.28558711455532165,0.37352031302521826,-0.48,-1.13
2020-07-01,Juli 2020,1.54,2020,7,3,1.96,2.19,2.67,2.68,3.32,2.2733333333333334,2.5733333333333333,2.874166666666667,0.3622614157395896,0.414423294068641,0.46229581897574906,-0.22999999999999998,-1.3199999999999998
2020-08-01,Agustus 2020,1.32,2020,8,3,1.54,1.96,2.19,2.98,3.49,1.8966666666666665,2.3833333333333333,2.7258333333333336,0.329595711946716,0.5828436039510998,0.5774624479461111,-0.41999999999999993,-1.7799999999999998
2020-09-01,September 2020,1.42,2020,9,3,1.32,1.54,1.96,2.96,3.39,1.6066666666666667,2.106666666666667,2.545,0.32516662395404444,0.6346547617931432,0.6514389666521078,-0.21999999999999997,-2.17
2020-10-01,Oktober 2020,1.44,2020,10,4,1.42,1.32,1.54,2.67,3.13,1.4266666666666667,1.8499999999999999,2.3808333333333334,0.11015141094727812,0.5219195340280426,0.6671712105917529,0.09999999999999987,-1.9700000000000002
2020-11-01,November 2020,1.59,2020,11,4,1.44,1.42,1.32,2.19,3.0,1.3933333333333333,1.6449999999999998,2.2399999999999998,0.06429100507595986,0.34800862058295745,0.6729987167352666,0.020000000000000018,-1.69
2020-12-01,Desember 2020,1.68,2020,12,4,1.59,1.44,1.42,1.96,2.72,1.4833333333333332,1.545,2.1225,0.09291573243361172,0.2242989077103467,0.6509730478990307,0.15000000000000013,-1.41
2021-01-01,Januari 2021,1.55,2021,1,1,1.68,1.59,1.44,1.54,2.68,1.57,1.4983333333333333,2.0358333333333336,0.12124355653121813,0.1299871788551553,0.6331804041838867,0.08999999999999986,-1.0400000000000003
2021-02-01,Februari 2021,1.38,2021,2,1,1.55,1.68,1.59,1.32,2.98,1.6066666666666667,1.5,1.9416666666666664,0.06658328118732922,0.1306904740218484,0.6123551158264582,-0.1299999999999999,-1.1300000000000001
2021-03-01,Maret 2021,1.37,2021,3,1,1.38,1.55,1.68,1.42,2.96,1.5366666666666664,1.51,1.8083333333333336,0.15044378795308558,0.1155854662146382,0.5350247799416062,-0.17000000000000015,-1.6
2021-04-01,April 2021,1.42,2021,4,2,1.37,1.38,1.55,1.44,2.67,1.4333333333333336,1.5016666666666667,1.6758333333333333,0.10115993937165015,0.12480651692408565,0.40495697489387983,-0.009999999999999787,-1.5899999999999999
2021-05-01,Mei 2021,1.68,2021,5,2,1.42,1.37,1.38,1.59,2.19,1.39,1.4983333333333333,1.5716666666666665,0.02645751311714368,0.1270301801412646,0.26124990938097487,0.04999999999999982,-1.25
2021-06-01,Juni 2021,1.33,2021,6,2,1.68,1.42,1.37,1.68,1.96,1.49,1.5133333333333334,1.5291666666666668,0.1664331697719567,0.1441758185921684,0.18052742593635068,0.26,-0.51
2021-07-01,Juli 2021,1.52,2021,7,3,1.33,1.68,1.42,1.55,1.54,1.4766666666666666,1.455,1.4766666666666666,0.18175074507048017,0.13367871932381853,0.12773077747827793,-0.34999999999999987,-0.6299999999999999
2021-08-01,Agustus 2021,1.59,2021,8,3,1.52,1.33,1.68,1.38,1.32,1.51,1.45,1.4750000000000003,0.17521415468032367,0.12992305415151056,0.1269574015890199,0.18999999999999995,-0.020000000000000018
2021-09-01,September 2021,1.6,2021,9,3,1.59,1.52,1.33,1.37,1.42,1.4800000000000002,1.485,1.4975000000000003,0.13453624047200538,0.13546217184164627,0.1207646095060322,0.07000000000000006,0.27
2021-10-01,Oktober 2021,1.66,2021,10,4,1.6,1.59,1.52,1.42,1.44,1.5700000000000003,1.5233333333333334,1.5125,0.04358898943929262,0.12878923350467492,0.12144022098456748,0.010000000000000009,0.18000000000000016
2021-11-01,November 2021,1.75,2021,11,4,1.66,1.6,1.59,1.68,1.59,1.6166666666666665,1.5633333333333332,1.5308333333333335,0.037859388976458484,0.12754084313160602,0.1260200801702397,0.05999999999999983,0.21999999999999997
